zinc_id,smiles
ZINC000000056595,COc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
ZINC000137913456,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](O)c1ccnc2ccc(OCCC(C)C)cc12
ZINC000261496578,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC
ZINC000104354315,CC1=CC(=O)c2c(O)c3c(c(O)c2C1=O)[C@H]1[C@@H](O)[C@H](C3=O)[C@@]23C(=O)c4cc(C)cc(O)c4C(=O)C2=C(O)C[C@@H](O)[C@H]13
ZINC000014679974,C=CCSS[C@H](CC)[S@@](=O)CCC
ZINC000013456909,CC1=C2[C@@H](C[C@@]3(C)O[C@H]3CC[C@@]3(C)O[C@@H]3[C@@H]2O)OC1=O
ZINC000104373862,C/C(C=C=C1C(C)(C)C[C@H](O)C[C@@]1(C)O)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C(O)=C\C(=O)[C@]1(C)C[C@@H](O)CC1(C)C
ZINC000256072846,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@H](O)C[C@]21C
ZINC000014488302,COc1cc([C@@H]2O[C@@H](c3ccc4c(c3)OCO4)[C@@H](C)[C@@H]2C)ccc1O
ZINC000014829497,Oc1ccc(/C=C\c2cc(O)cc3c2[C@H](c2cc(O)cc(O)c2)[C@@H](c2ccc(O)cc2)O3)cc1
ZINC000100780318,C=C1C(=O)O[C@H]2/C=C(/C)C[C@H](O)/C=C(/C)C(=O)[C@H](O)[C@@H]12
ZINC000261498693,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC
ZINC000028711474,NC(=O)[C@@H](CO)NCc1ccc(OCc2cccc(Cl)c2)cc1
ZINC000261494557,C[C@H](C(=O)O)c1ccc(C(=O)C2=CC=C[S@@]2=O)cc1
ZINC000150374218,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCC/C=C\CCCCCCCC
ZINC000013589225,CCCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1
ZINC000150359855,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC
ZINC000014958419,NS(=O)(=O)c1ccc(CNC(=O)c2cn[nH]c2-c2cc(Cl)c(O)cc2O)cc1
ZINC000004211980,CCCCCC[C@@H]1C(=O)O[C@H](C)[C@H](NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@H]1OC(=O)CC(C)C
ZINC000257492929,N[C@H](Cc1ccc(O)c(O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)c1)C(=O)O
ZINC000085862553,CC(=O)OC[C@@H]1O[C@@H](Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@@H](O)[C@@H](O)[C@H]1O
ZINC000118937361,C/C(=C/CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@](C)(CO)C(=O)CC[C@@]45C[C@]35CC[C@]12C)C(=O)O
ZINC000150378550,CCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCC
ZINC000150357195,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC
ZINC000261499655,CCCCC/C(=N\OS(=O)(=O)O)S[C@@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000015205244,CC[C@@H](CCO)C(C)C
ZINC000257416747,O=C(O)[C@@H]1C[C@](O)([C@]2(O)OC[C@H](O)[C@@H]2O)C(=O)N1
ZINC000014636759,CO[C@]1(C)CC2=C(CCCN2CCC/C=C2\C=C(C)C(=O)O2)C1=O
ZINC000104381227,Oc1cc(O)c2c(c1)O[C@]1(c3ccc(O)c(O)c3)Oc3c4c(cc(O)c3[C@@H]2[C@H]1O)O[C@@H](c1ccc(O)c(O)c1)[C@@H](O)C4
ZINC000013918090,NC[C@@H](CC(=O)O)Cc1ccco1
ZINC000257622466,CC1=C(C)C(=O)O[C@H]([C@](C)(O)[C@]2(O)CC[C@]3(O)[C@H]4C[C@H](O)[C@@]5(O)[C@H](O)C=CC(=O)[C@]5(C)[C@@H]4CC[C@@]32C)C1
ZINC000104351674,C[C@@H]1C(=O)O[C@H]2[C@H]1[C@]13O[C@H]4OC(=O)[C@@H](O)[C@@]45[C@@H](C(C)(C)C)[C@@H](O)[C@@H](OC1=O)[C@]53[C@H]2O
ZINC000085729724,CC(C)C1=C2[C@H]3CC=C4[C@@H](O)[C@@]5(O)CO[C@@H]6O[C@@H]([C@@H]4[C@@]6(O)[C@@H]5O)[C@]3(C)CC[C@]2(C)CC1
ZINC000064559072,CC[C@H](C=O)NC(=O)c1cccc(C(F)(F)F)c1
ZINC000095625065,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCC
ZINC000044280886,O=c1c2ncn([C@@H]3O[C@H](COC(c4ccccc4)(c4ccccc4)c4ccccc4)[C@@H](O)[C@H]3O)c2ncn1Cc1ccccc1
ZINC000261496922,CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCCCC
ZINC000002003682,C=CC[C@]1(C(=O)NC(N)=O)C[C@H](C)OC1=O
ZINC000006361516,N[C@H](C(=O)O)[C@H]1C[C@@H](SC[C@H](N)C(=O)O)NO1
ZINC000257441913,CC(C)=CCO[C@H]1O[C@@H](CO[C@@H]2OC[C@@](O)(CO)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000040893327,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2CC[C@@H]2[C@H](O)O[C@@H](C3=CC(=O)O[C@H]3O)C[C@H]21
ZINC000095618791,CCOc1cc(C/C(O)=N\[C@H](CC(C)C)c2ccccc2N)ccc1C(=O)O
ZINC000101300437,C1=C(c2ccccc2)C[C@@H]2CC[C@@H]1N2
ZINC000013325544,C=C1C(=O)O[C@H]2[C@H]1[C@H](OC(=O)/C(C)=C/C)C[C@](C)(O)[C@@H]1CC=C(C)[C@H]21
ZINC000238754427,CC(C)=CCc1c(O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)cc2occ(-c3ccc(O)cc3O)c(=O)c2c1O
ZINC000003788703,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC000100034955,O=C(NOCCO)C1=CC=C(F)[C@@H](F)/C1=N\c1ccc(I)cc1F
ZINC000040164451,C=CC1=C(C)[C@@H](CC2=N/C(=C\c3[nH]c(C[C@@H]4NC(=O)C(C)=C4CC)c(C)c3CCC(=O)O)C(CCC(=O)O)=C2C)NC1=O
ZINC000100783257,C=C1C[C@]23C[C@H]1CC[C@@H]2[C@@]12OC(=O)[C@](C)([C@@H](O)[C@H](O)[C@@H]1O)[C@H]2[C@H]3C(=O)O
ZINC000002564122,CCCCCCCCC(=O)OCCC(C)C
ZINC000095623158,CCCCCC/C=C\CCCCCCCC(=O)O[C@@H](COCCCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCCC
ZINC000085934499,O=C(/C=C/c1ccc(O)cc1)OC[C@@H]1O[C@@H](Oc2cc(O)c3c(c2)O[C@H](c2ccc(O)c(O)c2)CC3=O)[C@@H](O)[C@@H](O)[C@H]1O
ZINC000085931782,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O[C@@H]2O[C@@H](CO)[C@@H](O)[C@@H](O[C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)[C@@H]2O)cc(OC)c1O
ZINC000257695225,C[C@@]12CCC[C@@](C)(C(=O)O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O[C@@H]3O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)[C@H]1[C@H](O)[C@H](O)[C@@]13C[C@@H](CO)[C@@](O)(CC[C@@H]21)C3
ZINC000150357378,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC
ZINC000257376052,C[C@@H]1O[C@H](O[C@@H]2CO[C@H](O[C@@H]3CC[C@]4(C)[C@H](CC[C@]5(C)[C@@H]4CC=C4[C@@H]6CC(C)(C)CC[C@]6(C(=O)O)CC[C@]45C)C3(C)C)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000012496745,CCCCC/C=C\C[C@H](O)/C=C\C=C/C/C=C/CCCC(=O)O
ZINC000253501063,C=C[C@H](CCCCC)O[C@H]1O[C@@H](CO[C@@H]2OC[C@@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000033832262,COc1c2c(cc3oc(=O)c(-c4ccc(O)cc4O)cc13)O[C@@H](C(C)(C)O)C2
ZINC000035851468,Cc1cccc(C)c1N(CC(=O)Nc1ccc(-c2ncon2)cc1)C(=O)C1CCS(=O)(=O)CC1
ZINC000095623201,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCC)OC(=O)CCCCCCCCCCCCC
ZINC000000009070,O=C(c1ccc2c(c1)OCCO2)N1CCCCC1
ZINC000014588501,C[C@@]1(O)CC[C@@H]([C@@](C)(O)CO)C[C@@H]1O
ZINC000002390918,NCCCC[C@H](N)C(=O)N[C@@H](CC(=O)O)C(=O)O
ZINC000003830477,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1
ZINC000095620045,C=CC/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)[C@H](O)/C=C1/C(C)(C)C[C@@H](O)C[C@@]1(C)O
ZINC000257398495,OC[C@@H]1O[C@](CO)(OC[C@@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@H](O)[C@@H]3O)[C@@H](O[C@]3(CO)O[C@H](CO)[C@H](O)[C@@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
ZINC000104378544,C[C@@]12C[C@@H]3OC(=O)[C@H]1CO[C@]14C(=O)O[C@]5([C@H](CC[C@@H]6[C@@]1(O)C=C[C@]1(O)CC=CC(=O)[C@]61C)C(=O)O[C@]35C)[C@@H]24
ZINC000100829903,OC[C@@H]1O[C@@H](O[C@@H]2[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@@H]3O)O[C@@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
ZINC000150379064,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC
ZINC000936069748,CC[C@@H]1OC(=O)C[C@H](O)[C@H](C)[C@H](O[C@@H]2O[C@H](C)[C@H](O[C@@H]3C[C@](C)(O)[C@H](O)[C@H](C)O3)[C@H](N(C)C)[C@@H]2O)[C@H](CCO)C[C@H](C)C(=O)C=CC(C)=C[C@@H]1CO[C@@H]1O[C@H](C)[C@H](O)[C@H](OC)[C@@H]1OC
ZINC000014689040,Cn1c2ccccc2c(=O)c2c(O)cc3c(c21)C[C@H]([C@@](C)(Cl)CO)O3
ZINC000085664081,C=C[C@]1(C)CC[C@H](C(C)C)[C@@H](OC(C)=O)[C@H]1C(=C)C
ZINC000148024549,N#C[C@@H]1C(COC(=O)C[C@@H]2CC(c3ccccc3)=NO2)=NC=[N+]1[O-]
ZINC000261498095,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](CO[P@](=O)(O)O[C@@H]1[C@@H](O)[C@H](OP(=O)(O)O)[C@H](O)[C@@H](O)[C@H]1O)OC(=O)CCCCCCCCCCCCCCC
ZINC000150376164,CCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC
ZINC000100777687,CC1(C)C[C@@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@@H](O)[C@@](C)(C=O)[C@@H]5CC[C@@]4(C)[C@@]3(C)C[C@@H](O)[C@@]2(CO)[C@@H](O)[C@@H]1O
