Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6w4hpdbqt_ZINC000000057001conf4,-5.6,0.0,0.0
6w4hpdbqt_ZINC000000057001conf5,-5.4,0.0,0.0
6w4hpdbqt_ZINC000000057001conf6,-5.7,0.0,0.0
6w4hpdbqt_ZINC000000083315conf1,-7.7,0.0,0.0
6w4hpdbqt_ZINC000000083315conf2,-7.7,0.0,0.0
6w4hpdbqt_ZINC000000083315conf3,-7.7,0.0,0.0
6w4hpdbqt_ZINC000000083315conf4,-7.7,0.0,0.0
6w4hpdbqt_ZINC000000083315conf5,-7.7,0.0,0.0
6w4hpdbqt_ZINC000000083315conf6,-7.2,0.0,0.0
6w4hpdbqt_ZINC000000083315conf7,-7.6,0.0,0.0
6w4hpdbqt_ZINC000000083315conf8,-7.0,0.0,0.0
6w4hpdbqt_ZINC000000156792conf1,-6.8,0.0,0.0
6w4hpdbqt_ZINC000000156792conf2,-7.2,0.0,0.0
6w4hpdbqt_ZINC000000156792conf3,-7.2,0.0,0.0
6w4hpdbqt_ZINC000000156792conf4,-6.9,0.0,0.0
6w4hpdbqt_ZINC000000156792conf5,-6.8,0.0,0.0
6w4hpdbqt_ZINC000000156792conf6,-7.4,0.0,0.0
6w4hpdbqt_ZINC000000156792conf7,-7.2,0.0,0.0
6w4hpdbqt_ZINC000000156792conf8,-7.2,0.0,0.0
6w4hpdbqt_ZINC000000156792conf9,-6.9,0.0,0.0
6w4hpdbqt_ZINC000000391812conf1,-5.8,0.0,0.0
6w4hpdbqt_ZINC000000391812conf2,-5.9,0.0,0.0
6w4hpdbqt_ZINC000000391812conf3,-5.9,0.0,0.0
6w4hpdbqt_ZINC000000391812conf4,-5.9,0.0,0.0
6w4hpdbqt_ZINC000000391812conf5,-5.8,0.0,0.0
6w4hpdbqt_ZINC000000537928conf1,-8.8,0.0,0.0
6w4hpdbqt_ZINC000000537928conf2,-8.4,0.0,0.0
6w4hpdbqt_ZINC000000537928conf3,-8.8,0.0,0.0
6w4hpdbqt_ZINC000000537928conf4,-8.9,0.0,0.0
