title,smiles
ZINC000100285161,CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1
ZINC000073221324,O=C(c1cc2cc(Cl)ccc2[nH]1)N1C[C@]2(CCN([C@H]3CCNC3)C2)c2ccccc21
ZINC000014681083,COc1cc(C)c(C(=O)O[C@@H]2C[C@]3(C)[C@@H]4CC(C)(C)C[C@@]4(O)C=C(C=O)[C@@]23O)c(O)c1
ZINC000004097702,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C[C@@H](O)CC2(C)C)C(C)(C)CCC1
ZINC000014720247,C=C1CC[C@]2(C)CC[C@@]3(C)[C@@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2[C@@H]1C
ZINC000058650145,CC(=O)Cc1cc[n+]([C@@H]2O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)cc1C(N)=O
ZINC000013976391,O=C(C[C@H]1c2ccccc2N=C(N2CCCCC2)N1c1ccccc1)NCc1ccccc1
ZINC000169292629,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1C[C@@](OC(=O)/C=C/c2ccc(O)c(O)c2)(C(=O)O)C[C@@H](O)[C@@H]1O
ZINC000058661310,CC[C@]1(O)Cc2cc3c(c(O)c2[C@@H](O[C@H]2C[C@H](N(C)C)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(O)cccc1C3=O
ZINC000004214775,O=C1c2c(O)cccc2[C@@H]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21
ZINC000257373549,O=C(O)[C@@H]1O[C@H](Oc2cc3oc(-c4ccc(O)cc4)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)c(=O)c3c(O)c2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@H]1O
ZINC000016052729,COc1cc2nccc(Oc3ccc4c(C(=O)NC5CC5)cccc4c3)c2cc1OC
ZINC000000601301,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)N[C@@H](Cc1ccccc1)NS2(=O)=O
ZINC000118937067,C[C@H]1O[C@H](O[C@@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@@]5(O)[C@@H]4CC[C@@]3(O)C2)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC000095618739,O=Cc1cc([C@]2(c3ccccc3)NC(=O)NC2=O)ccc1O
ZINC000014689048,Cn1c2ccccc2c(=O)c2c(O)cc3c(c21)C[C@H]([C@@](C)(O)CCl)O3
ZINC000000000572,C[N+]1(C[C@H]2CO[C@@](c3ccccc3)(C3CCCCC3)O2)CCCCC1
ZINC000005783214,Cc1cccn2c(=O)c(-c3nn[nH]n3)cnc12
ZINC000002015922,NS(=O)(=O)c1cc2c(cc1Cl)N[C@H](Cc1ccccc1)NS2(=O)=O
